Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
10.11.69.148,239.255.255.250,17,64907,1900,212,0.001
10.11.69.212,23.49.104.54,6,21564,443,1540,29.235921
10.11.69.212,111.47.131.147,6,3587,443,1143,0.535027
10.11.69.139,224.0.0.251,17,5353,5353,100,0.001
23.49.104.54,10.11.69.212,6,443,21564,1848,29.179728
111.47.131.147,10.11.69.212,6,443,3587,6086,0.455358
10.11.69.212,180.76.76.76,1,0,0,148,15.361071
180.76.76.76,10.11.69.212,1,0,0,148,15.247813
10.11.69.212,10.11.71.254,1,0,0,148,15.247630
10.11.71.254,10.11.69.212,1,0,0,148,15.246687
10.11.69.212,123.6.122.178,6,21541,443,1187,17.132797
123.6.122.178,10.11.69.212,6,443,21541,1433,17.042916
10.11.69.212,182.61.200.110,1,0,0,888,10.337940
182.61.200.110,10.11.69.212,1,0,0,888,10.332236
10.11.69.212,202.114.0.131,17,55371,53,451,19.367247
202.114.0.131,10.11.69.212,17,53,55371,928,19.371386
10.11.69.212,111.13.53.247,6,3591,443,3524,0.322742
10.11.71.79,239.255.255.250,17,65403,1900,1287,26.210577
111.13.53.247,10.11.69.212,6,443,3591,5603,0.249202
111.7.100.86,10.11.69.212,6,6781,50631,120,15.032798
10.11.69.212,111.7.100.86,6,50631,6781,108,15.032815
10.11.71.235,239.255.255.250,17,2200,2200,2005,24.884187
10.11.69.212,49.232.138.50,6,3594,443,1798,0.195020
49.232.138.50,10.11.69.212,6,443,3594,5792,0.153278
10.11.69.212,49.232.138.50,6,3597,443,1809,0.274094
49.232.138.50,10.11.69.212,6,443,3597,9519,0.171080
10.11.68.196,224.0.0.252,17,64781,5355,134,0.307153
10.11.70.219,224.0.0.251,17,5353,5353,748,0.957208
10.11.70.219,224.0.0.252,17,57179,5355,62,0.001
10.11.70.219,224.0.0.252,17,55000,5355,62,0.001
10.11.69.212,202.114.0.131,17,51698,53,95,0.001
10.11.69.212,202.114.0.131,17,60934,53,95,0.001
10.11.69.212,202.114.0.131,17,55794,53,95,0.001
202.114.0.131,10.11.69.212,17,53,60934,159,0.001
202.114.0.131,10.11.69.212,17,53,55794,152,0.001
202.114.0.131,10.11.69.212,17,53,51698,207,0.001
10.11.69.212,216.239.38.223,6,3600,443,330,15.019144
10.11.69.212,216.239.38.223,6,3601,443,330,15.023178
10.11.68.130,255.255.255.255,17,68,67,340,0.001
10.11.69.212,43.143.234.249,6,50643,1884,132,0.121145
43.143.234.249,10.11.69.212,6,1884,50643,78,0.001
10.11.68.48,224.0.0.251,17,45266,5353,243,19.974408
10.11.69.68,255.255.255.255,17,68,67,1032,17.814216
0.0.0.0,255.255.255.255,17,68,67,3460,18.330206
10.11.69.212,48.210.190.78,6,6138,443,55,0.001
10.11.71.254,255.255.255.255,17,67,68,684,0.001
48.210.190.78,10.11.69.212,6,443,6138,66,0.001
10.11.70.114,239.255.255.250,17,50939,1900,848,3.061557
10.11.69.212,111.13.53.247,6,3605,443,3524,0.239681
111.13.53.247,10.11.69.212,6,443,3605,5543,0.196031
10.11.68.190,224.0.0.251,17,5353,5353,300,8.705677
10.11.69.212,103.216.136.165,6,1057,443,55,0.001
103.216.136.165,10.11.69.212,6,443,1057,66,0.001
10.11.69.212,202.114.0.242,17,55371,53,91,0.001
10.11.69.212,20.49.150.241,6,3606,443,1945,1.785138
202.114.0.242,10.11.69.212,17,53,55371,271,0.001
20.49.150.241,10.11.69.212,6,443,3606,4966,1.385614
10.11.69.29,224.0.0.251,17,5353,5353,119,0.001
10.11.69.38,239.255.255.250,17,58326,1900,868,2.966047
10.11.69.212,216.239.32.223,6,3609,443,132,1.006948
10.11.69.212,216.239.32.223,6,3610,443,132,1.004632
10.11.71.235,239.255.255.250,17,61397,1900,217,0.001
